X_position,Y_position,relXpos,relYpos,Position
"center at 15%","middle at 15%",0.15,0.15,TopLeft
"center at 50%","middle at 15%",0.50,0.15,TopCentre
"center at 85%","middle at 15%",0.85,0.15,TopRight
"center at 15%","middle at 50%",0.15,0.50,MiddleLeft
"center at 50%","middle at 50%",0.50,0.50,MiddleCentre
"center at 85%","middle at 50%",0.85,0.50,MiddleRight
"center at 15%","middle at 85%",0.15,0.85,BottomLeft
"center at 50%","middle at 85%",0.50,0.85,BottomCentre
"center at 85%","middle at 85%",0.85,0.85,BottomRight
"center at 25%","middle at 75%",0.25,0.75,BottomRightQuadrant
"center at 25%","middle at 25%",0.25,0.25,TopRightQuadrant
"center at 75%","middle at 75%",0.75,0.75,BottomLeftQuadrant
"center at 75%","middle at 25%",0.75,0.25,TopLeftQuadrant
"center at 15%","middle at 15%",0.15,0.15,TopLeft
"center at 50%","middle at 15%",0.50,0.15,TopCentre
"center at 85%","middle at 15%",0.85,0.15,TopRight
"center at 15%","middle at 50%",0.15,0.50,MiddleLeft
"center at 50%","middle at 50%",0.50,0.50,MiddleCentre
"center at 85%","middle at 50%",0.85,0.50,MiddleRight
"center at 15%","middle at 85%",0.15,0.85,BottomLeft
"center at 50%","middle at 85%",0.50,0.85,BottomCentre
"center at 85%","middle at 85%",0.85,0.85,BottomRight
"center at 25%","middle at 75%",0.25,0.75,BottomRightQuadrant
"center at 25%","middle at 25%",0.25,0.25,TopRightQuadrant
"center at 75%","middle at 75%",0.75,0.75,BottomLeftQuadrant
"center at 75%","middle at 25%",0.75,0.25,TopLeftQuadrant
"center at 15%","middle at 15%",0.15,0.15,TopLeft
"center at 50%","middle at 15%",0.50,0.15,TopCentre
"center at 85%","middle at 15%",0.85,0.15,TopRight
"center at 15%","middle at 50%",0.15,0.50,MiddleLeft
"center at 50%","middle at 50%",0.50,0.50,MiddleCentre
"center at 85%","middle at 50%",0.85,0.50,MiddleRight
"center at 15%","middle at 85%",0.15,0.85,BottomLeft
"center at 50%","middle at 85%",0.50,0.85,BottomCentre
"center at 85%","middle at 85%",0.85,0.85,BottomRight
"center at 25%","middle at 75%",0.25,0.75,BottomRightQuadrant
"center at 25%","middle at 25%",0.25,0.25,TopRightQuadrant
"center at 75%","middle at 75%",0.75,0.75,BottomLeftQuadrant
"center at 75%","middle at 25%",0.75,0.25,TopLeftQuadrant
"center at 15%","middle at 15%",0.15,0.15,TopLeft
"center at 50%","middle at 15%",0.50,0.15,TopCentre
"center at 85%","middle at 15%",0.85,0.15,TopRight
"center at 15%","middle at 50%",0.15,0.50,MiddleLeft
"center at 50%","middle at 50%",0.50,0.50,MiddleCentre
"center at 85%","middle at 50%",0.85,0.50,MiddleRight
"center at 15%","middle at 85%",0.15,0.85,BottomLeft
"center at 50%","middle at 85%",0.50,0.85,BottomCentre
"center at 85%","middle at 85%",0.85,0.85,BottomRight
"center at 25%","middle at 75%",0.25,0.75,BottomRightQuadrant
"center at 25%","middle at 25%",0.25,0.25,TopRightQuadrant
"center at 75%","middle at 75%",0.75,0.75,BottomLeftQuadrant
"center at 75%","middle at 25%",0.75,0.25,TopLeftQuadrant
"center at 15%","middle at 15%",0.15,0.15,TopLeft
"center at 50%","middle at 15%",0.50,0.15,TopCentre
"center at 85%","middle at 15%",0.85,0.15,TopRight
"center at 15%","middle at 50%",0.15,0.50,MiddleLeft
"center at 50%","middle at 50%",0.50,0.50,MiddleCentre
"center at 85%","middle at 50%",0.85,0.50,MiddleRight
"center at 15%","middle at 85%",0.15,0.85,BottomLeft
"center at 50%","middle at 85%",0.50,0.85,BottomCentre
"center at 85%","middle at 85%",0.85,0.85,BottomRight
"center at 25%","middle at 75%",0.25,0.75,BottomRightQuadrant
"center at 25%","middle at 25%",0.25,0.25,TopRightQuadrant
"center at 75%","middle at 75%",0.75,0.75,BottomLeftQuadrant
"center at 75%","middle at 25%",0.75,0.25,TopLeftQuadrant
"center at 15%","middle at 15%",0.15,0.15,TopLeft
"center at 50%","middle at 15%",0.50,0.15,TopCentre
"center at 85%","middle at 15%",0.85,0.15,TopRight
"center at 15%","middle at 50%",0.15,0.50,MiddleLeft
"center at 50%","middle at 50%",0.50,0.50,MiddleCentre
"center at 85%","middle at 50%",0.85,0.50,MiddleRight
"center at 15%","middle at 85%",0.15,0.85,BottomLeft
"center at 50%","middle at 85%",0.50,0.85,BottomCentre
"center at 85%","middle at 85%",0.85,0.85,BottomRight
"center at 25%","middle at 75%",0.25,0.75,BottomRightQuadrant
"center at 25%","middle at 25%",0.25,0.25,TopRightQuadrant
"center at 75%","middle at 75%",0.75,0.75,BottomLeftQuadrant
"center at 75%","middle at 25%",0.75,0.25,TopLeftQuadrant
